"Raw Weather Data for Austin, TX",,
,Average Daily Temperature,
Date,(degrees),Station Used
1/10/19,49.7,AUSTIN-BERGSTROM INT
1/11/19,52.7,AUSTIN-BERGSTROM INT
1/12/19,57.5,AUSTIN-BERGSTROM INT
1/13/19,45.8,AUSTIN-BERGSTROM INT
1/14/19,44,AUSTIN-BERGSTROM INT
1/15/19,48.6,AUSTIN-BERGSTROM INT
1/16/19,52.2,AUSTIN-BERGSTROM INT
1/17/19,62.1,AUSTIN-BERGSTROM INT
1/18/19,57.3,AUSTIN-BERGSTROM INT
1/19/19,57.7,AUSTIN-BERGSTROM INT
1/20/19,42.3,AUSTIN-BERGSTROM INT
1/21/19,44.2,AUSTIN-BERGSTROM INT
1/22/19,61.5,AUSTIN-BERGSTROM INT
1/23/19,48.6,AUSTIN-BERGSTROM INT
1/24/19,42.3,AUSTIN-BERGSTROM INT
1/25/19,47,AUSTIN-BERGSTROM INT
1/26/19,51.6,AUSTIN-BERGSTROM INT
1/27/19,55.7,AUSTIN-BERGSTROM INT
1/28/19,52.4,AUSTIN-BERGSTROM INT
1/29/19,47.7,AUSTIN-BERGSTROM INT
1/30/19,45.2,AUSTIN-BERGSTROM INT
1/31/19,51.6,AUSTIN-BERGSTROM INT
2/1/19,60.1,AUSTIN-BERGSTROM INT
2/2/19,62.3,AUSTIN-BERGSTROM INT
2/3/19,65.9,AUSTIN-BERGSTROM INT
2/4/19,69.4,AUSTIN-BERGSTROM INT
2/5/19,70.8,AUSTIN-BERGSTROM INT
2/6/19,70.5,AUSTIN-BERGSTROM INT
